Timestamp,Y,X,Elevation,Azimuth,Connected_Satellite,Distance,Relative_Elevation,Relative_Azimuth
2024-07-17 19:36:09+00:00,73,48,45.93359471295671,335.7990284088415,STARLINK-3088,774.319305790553,46.09264552339011,342.7841301671659
2024-07-17 19:36:10+00:00,73,48,45.93359471295671,335.7990284088415,STARLINK-3088,777.8314979846809,45.780780115134036,343.31192472132153
2024-07-17 19:36:12+00:00,74,50,45.72063899948483,339.5318916171704,STARLINK-31289,669.4454915304226,45.16039355039033,348.1803929827704
2024-07-17 19:36:13+00:00,74,50,45.72063899948483,339.5318916171704,STARLINK-31289,667.1004523368938,45.392839906336384,348.9495712038472
2024-07-17 19:36:14+00:00,74,51,46.15517856935531,341.111813422425,STARLINK-31289,664.8201832707281,45.62125243009387,349.7304015512804
2024-07-17 19:36:15+00:00,74,51,46.15517856935531,341.111813422425,STARLINK-31289,662.6053559332317,45.84540637132666,350.52286001154215
2024-07-17 19:36:16+00:00,74,52,46.555727803535,342.72211251707176,STARLINK-31289,660.4566315323224,46.06507454830489,351.3269042303538
2024-07-17 19:36:17+00:00,73,52,47.78608560962192,342.20195240946924,STARLINK-31289,658.3746600470064,46.28002780373152,352.14247252829165
2024-07-17 19:36:18+00:00,73,53,48.1624468536001,343.8846954861044,STARLINK-31289,656.3600793859403,46.49003549658805,352.96948294042704
2024-07-17 19:36:19+00:00,73,53,48.1624468536001,343.8846954861044,STARLINK-31289,654.4135145416215,46.69486602963932,353.80783228936855
2024-07-17 19:36:20+00:00,73,54,48.50208435208163,345.59648092473543,STARLINK-31289,652.5355767427284,46.89428741189382,354.65739530191627
2024-07-17 19:36:21+00:00,73,54,48.50208435208163,345.59648092473543,STARLINK-31289,650.7268626063974,47.08806785500362,355.51802378050456
2024-07-17 19:36:22+00:00,73,55,48.8040897941324,347.33493623495764,STARLINK-31289,648.9879532933928,47.27597640203012,356.38954584012924
2024-07-17 19:36:23+00:00,73,55,48.8040897941324,347.33493623495764,STARLINK-31289,647.3194136680173,47.45778358678791,357.2717652226422
2024-07-17 19:36:24+00:00,73,56,49.06763020563908,349.0974186002344,STARLINK-31289,645.7217914657512,47.633262121351144,358.16446070051245
2024-07-17 19:36:25+00:00,73,56,49.06763020563908,349.0974186002344,STARLINK-31289,644.1956164707954,47.802187608988625,359.06738558116365
2024-07-17 19:36:27+00:00,46,89,54.75216333455097,81.26181098809093,STARLINK-30239,684.1400905200531,53.44917955428556,90.58111896871155
2024-07-17 19:36:28+00:00,46,89,54.75216333455097,81.26181098809093,STARLINK-30239,687.7926316355739,52.98552391105799,90.97414076647152
2024-07-17 19:36:29+00:00,46,90,53.47629167908978,81.56932299382913,STARLINK-30239,691.4948604707312,52.525223502271885,91.35483165624899
2024-07-17 19:36:30+00:00,46,90,53.47629167908978,81.56932299382913,STARLINK-30239,695.2459795754597,52.06835070509275,91.72373587414351
2024-07-17 19:36:31+00:00,46,90,53.47629167908978,81.56932299382913,STARLINK-30239,699.045198171581,51.614970175726356,92.08136806823349
