Time,X Coordinate,Y Coordinate,Distance
2024-06-03 02:41:05,97,47,62.64982043070834
2024-06-03 02:41:05,98,48,1.4142135623730951
2024-06-03 02:41:05,98,49,1.0
2024-06-03 02:41:05,99,49,1.0
2024-06-03 02:41:08,98,49,1.0
2024-06-03 02:41:08,99,49,1.0
2024-06-03 02:41:08,99,50,1.0
2024-06-03 02:41:08,100,50,1.0
2024-06-03 02:41:11,99,50,1.0
2024-06-03 02:41:11,100,50,1.0
2024-06-03 02:41:11,100,51,1.0
2024-06-03 02:41:15,100,51,0.0
2024-06-03 02:41:15,27,57,73.24616030891995
2024-06-03 02:41:18,27,57,0.0
2024-06-03 02:41:18,28,57,1.0
2024-06-03 02:41:21,28,57,0.0
2024-06-03 02:41:21,29,57,1.0
2024-06-03 02:41:24,29,57,0.0
2024-06-03 02:41:24,30,58,1.4142135623730951
2024-06-03 02:41:24,31,58,1.0
2024-06-03 02:41:28,30,58,1.0
2024-06-03 02:41:28,31,58,1.0
2024-06-03 02:41:28,32,58,1.0
2024-06-03 02:41:28,65,70,35.11409973215888
2024-06-03 02:41:31,32,58,35.11409973215888
2024-06-03 02:41:31,65,70,35.11409973215888
2024-06-03 02:41:31,66,70,1.0
2024-06-03 02:47:15,32,77,70.09279563550022
2024-06-03 02:47:45,31,79,5.830951894845301
2024-06-03 02:48:43,21,69,18.35755975068582
06-03 02:50:43,54,77,35.805027579936315
06-03 02:53:54,35,56,
06-03 02:53:55,35,56,0.0
06-03 02:53:56,36,56,1.0
06-03 02:53:57,36,56,0.0
06-03 02:53:59,62,28,38.2099463490856
06-03 02:53:59,62,29,1.0
06-03 02:53:59,36,56,37.48332962798263
06-03 02:55:46,84,73,
06-03 02:55:47,84,73,0.0
06-03 02:55:50,84,74,1.0
06-03 02:55:51,84,74,0.0
06-03 02:55:55,84,75,1.0
06-03 02:55:56,84,75,0.0
06-03 02:55:56,85,75,1.0
06-03 02:55:57,85,75,0.0
06-03 02:55:59,83,72,3.605551275463989
06-03 02:55:59,85,75,3.605551275463989
06-03 02:56:00,83,72,3.605551275463989
06-03 02:56:00,85,75,3.605551275463989
06-03 02:56:01,83,73,2.8284271247461903
06-03 02:56:01,84,73,1.0
06-03 02:56:02,83,73,1.0
06-03 02:56:02,84,73,1.0
06-03 02:56:05,84,74,1.0
06-03 02:56:06,84,74,0.0
06-03 02:56:10,84,75,1.0
06-03 02:56:11,84,75,0.0
06-03 02:56:13,64,69,20.8806130178211
06-03 02:56:13,65,69,1.0
06-03 02:56:14,64,69,1.0
06-03 02:56:14,65,69,1.0
06-03 02:56:16,66,69,1.0
06-03 02:56:17,66,69,0.0
06-03 02:56:18,67,68,1.4142135623730951
06-03 02:56:18,67,69,1.0
06-03 02:56:19,67,68,1.0
06-03 02:56:19,68,68,1.0
06-03 02:56:19,67,69,1.4142135623730951
06-03 02:56:21,68,68,1.4142135623730951
06-03 02:56:22,69,68,1.0
06-03 02:56:23,69,68,0.0
06-03 02:56:23,70,68,1.0
06-03 02:56:24,70,67,1.0
06-03 02:56:24,70,68,1.0
06-03 02:56:25,70,67,1.0
06-03 02:56:25,71,67,1.0
06-03 02:56:27,71,67,0.0
06-03 02:56:28,72,67,1.0
06-03 02:56:29,72,67,0.0
06-03 02:56:29,73,67,1.0
06-03 02:56:30,73,66,1.0
06-03 02:56:30,73,67,1.0
06-03 02:56:32,73,66,1.0
06-03 02:56:32,74,66,1.0
06-03 02:56:33,74,66,0.0
06-03 02:56:33,75,66,1.0
06-03 02:56:34,75,66,0.0
06-03 02:56:35,76,66,1.0
06-03 02:56:36,76,65,1.0
06-03 02:56:36,76,66,1.0
06-03 02:56:38,76,65,1.0
06-03 02:56:38,77,65,1.0
06-03 02:56:39,77,65,0.0
06-03 02:56:39,78,65,1.0
06-03 02:56:40,78,65,0.0
06-03 02:56:41,79,65,1.0
06-03 02:56:43,79,64,1.0
06-03 02:56:43,79,65,1.0
06-03 02:56:43,48,71,31.575306807693888
06-03 02:56:44,79,64,31.78049716414141
06-03 02:56:44,48,71,31.78049716414141
06-03 02:56:45,49,71,1.0
06-03 02:56:46,49,71,0.0
06-03 02:56:46,50,71,1.0
06-03 02:56:47,50,71,0.0
06-03 02:56:49,51,71,1.0
06-03 02:56:50,51,71,0.0
06-03 02:56:51,52,71,1.0
06-03 02:56:52,52,71,0.0
06-03 02:56:54,53,71,1.0
06-03 02:56:55,53,71,0.0
06-03 02:56:56,54,71,1.0
06-03 02:56:57,54,71,0.0
06-03 02:56:57,54,72,1.0
06-03 02:56:58,24,60,32.31098884280702
06-03 02:56:58,25,60,1.0
06-03 02:57:00,24,60,1.0
06-03 02:57:00,54,72,32.31098884280702
06-03 02:57:01,25,60,31.38470965295043
06-03 02:57:02,26,61,1.4142135623730951
06-03 02:57:03,26,61,0.0
06-03 02:57:06,26,61,0.0
06-03 02:57:06,27,61,1.0
06-03 02:57:07,26,61,1.0
06-03 02:57:07,27,61,1.0
06-03 02:57:08,28,61,1.0
06-03 02:57:09,28,61,0.0
06-03 02:57:11,29,61,1.0
06-03 02:57:12,29,61,0.0
06-03 02:57:12,29,62,1.0
06-03 02:57:13,29,62,0.0
06-03 02:57:13,79,64,50.039984012787215
06-03 02:57:14,79,64,0.0
06-03 02:57:14,80,64,1.0
06-03 02:57:16,80,64,0.0
06-03 02:57:17,80,64,0.0
06-03 02:57:18,81,63,1.4142135623730951
06-03 02:57:18,82,63,1.0
06-03 02:57:18,80,64,2.23606797749979
06-03 02:57:19,81,63,1.4142135623730951
06-03 02:57:19,82,63,1.0
06-03 02:57:21,83,63,1.0
06-03 02:57:22,83,63,0.0
