Timestamp,Y,X,Elevation,Azimuth,Connected_Satellite,Distance
2024-07-17 19:24:30+00:00,59,59,66.45064054150714,350.53896806309774,STARLINK-5235,598.8914850933588
2024-07-17 19:24:31+00:00,59,58,66.20447820617991,347.472877237826,STARLINK-5235,601.6682930593527
2024-07-17 19:24:32+00:00,60,58,64.94331068356156,348.1128615508613,STARLINK-5235,604.5132176639514
2024-07-17 19:24:33+00:00,60,58,64.94331068356156,348.1128615508613,STARLINK-5235,607.4252978238111
2024-07-17 19:24:34+00:00,60,58,64.94331068356156,348.1128615508613,STARLINK-5235,610.4035683288463
2024-07-17 19:24:35+00:00,61,58,63.67931675877088,348.6914446628504,STARLINK-5235,613.4470609885038
2024-07-17 19:24:36+00:00,61,58,63.67931675877088,348.6914446628504,STARLINK-5235,616.5548057356045
2024-07-17 19:24:37+00:00,62,58,62.4128849316576,349.21695572539454,STARLINK-5235,619.7258316863897
2024-07-17 19:24:38+00:00,62,57,62.14262558938712,346.6090389770759,STARLINK-5235,622.9591681538454
2024-07-17 19:24:39+00:00,63,57,60.88585008477561,347.1971408499656,STARLINK-5235,626.2538456168317
2024-07-17 19:24:40+00:00,63,57,60.88585008477561,347.1971408499656,STARLINK-5235,629.6088966415288
2024-07-17 19:24:42+00:00,56,38,53.4796535833333,302.0096748258471,STARLINK-4252,691.039263579327
2024-07-17 19:24:43+00:00,56,37,52.379295751709314,300.967969271174,STARLINK-4252,689.6930706948363
2024-07-17 19:24:44+00:00,56,37,52.379295751709314,300.967969271174,STARLINK-4252,688.4218793738445
2024-07-17 19:24:45+00:00,54,37,53.639794740199015,297.4789414998808,STARLINK-4252,687.22610875778
2024-07-17 19:24:46+00:00,54,37,53.639794740199015,297.4789414998808,STARLINK-4252,686.106156033487
2024-07-17 19:24:47+00:00,53,37,54.2168630103511,295.64566232172626,STARLINK-4252,685.0623958043151
2024-07-17 19:24:48+00:00,53,36,53.04943243618251,294.77968214128725,STARLINK-4252,684.0951794889721
2024-07-17 19:24:49+00:00,52,36,53.57140306987371,292.93677308145726,STARLINK-4252,683.2048347507213
2024-07-17 19:24:50+00:00,52,36,53.57140306987371,292.93677308145726,STARLINK-4252,682.3916649621711
2024-07-17 19:24:51+00:00,51,36,54.05461406478966,291.0423101306821,STARLINK-4252,681.6559487028802
2024-07-17 19:24:52+00:00,51,36,54.05461406478966,291.0423101306821,STARLINK-4252,680.9979392952177
2024-07-17 19:24:53+00:00,51,35,52.84744712373421,290.3278019062392,STARLINK-4252,680.4178643796514
2024-07-17 19:24:54+00:00,51,35,52.84744712373421,290.3278019062392,STARLINK-4252,679.9159255291337
2024-07-17 19:24:55+00:00,49,35,53.663269672909706,286.5092382639368,STARLINK-4252,679.492297906635
2024-07-17 19:24:57+00:00,67,39,45.20647426278142,318.5062655282841,STARLINK-30926,767.2662459293103
2024-07-17 19:24:58+00:00,67,39,45.20647426278142,318.5062655282841,STARLINK-30926,769.7184431921867
2024-07-17 19:24:59+00:00,67,38,44.34135603206514,317.2933557042201,STARLINK-30926,772.2242460617028
2024-07-17 19:25:00+00:00,67,38,44.34135603206514,317.2933557042201,STARLINK-30926,774.783132434301
2024-07-17 19:25:01+00:00,67,37,43.45654229932363,316.1260550640478,STARLINK-30926,777.3945760696421
2024-07-17 19:25:02+00:00,67,37,43.45654229932363,316.1260550640478,STARLINK-30926,780.0580470137597
2024-07-17 19:25:03+00:00,67,37,43.45654229932363,316.1260550640478,STARLINK-30926,782.77301201546
2024-07-17 19:25:04+00:00,67,36,42.55313492755382,315.0027544723556,STARLINK-30926,785.5389349335792
2024-07-17 19:25:05+00:00,66,36,43.45663172832417,313.87955973539584,STARLINK-30926,788.355277135254
2024-07-17 19:25:06+00:00,66,36,43.45663172832417,313.87955973539584,STARLINK-30926,791.2214978840564
2024-07-17 19:25:07+00:00,66,35,42.51814509451691,312.8002580321794,STARLINK-30926,794.1370547194758
2024-07-17 19:25:08+00:00,66,35,42.51814509451691,312.8002580321794,STARLINK-30926,797.1014038244647
2024-07-17 19:25:09+00:00,66,34,41.56346600775297,311.76314606774804,STARLINK-30926,800.1140003848
2024-07-17 19:25:10+00:00,66,34,41.56346600775297,311.76314606774804,STARLINK-30926,803.1742989359639
2024-07-17 19:25:12+00:00,40,95,47.39990656749852,91.7313679718253,STARLINK-5552,760.6112216256057
2024-07-17 19:25:13+00:00,40,95,47.39990656749852,91.7313679718253,STARLINK-5552,762.7937498479265
2024-07-17 19:25:14+00:00,41,95,47.41935471652004,89.99565941065123,STARLINK-5552,765.0398139152412
2024-07-17 19:25:15+00:00,41,96,46.12903213946869,89.99578707504338,STARLINK-5552,767.3488517658151
2024-07-17 19:25:16+00:00,42,96,46.10996607379183,88.3111064074912,STARLINK-5552,769.7202924488064
2024-07-17 19:25:17+00:00,42,96,46.10996607379183,88.3111064074912,STARLINK-5552,772.1535567201583
2024-07-17 19:25:18+00:00,43,96,46.05300693116896,86.62934095703747,STARLINK-5552,774.6480576335938
2024-07-17 19:25:19+00:00,43,96,46.05300693116896,86.62934095703747,STARLINK-5552,777.2032011270312
2024-07-17 19:25:20+00:00,44,96,45.95830173274073,84.95336857898587,STARLINK-5552,779.8183865988577
2024-07-17 19:25:21+00:00,44,96,45.95830173274073,84.95336857898587,STARLINK-5552,782.4930074799618
2024-07-17 19:25:22+00:00,45,96,45.82609325109473,83.28600781707553,STARLINK-5552,785.2264517924198
2024-07-17 19:25:23+00:00,45,97,44.54436921076278,83.4761584898406,STARLINK-5552,788.0181027019559
2024-07-17 19:25:24+00:00,45,97,44.54436921076278,83.4761584898406,STARLINK-5552,790.867339058034
2024-07-17 19:25:25+00:00,46,97,44.37975135569332,81.86588698139133,STARLINK-5552,793.7735359220585
2024-07-17 19:25:27+00:00,32,55,75.29060519513143,217.8826978796025,STARLINK-31153,502.98497353184
2024-07-17 19:25:28+00:00,33,55,76.2861103245207,221.19479997659167,STARLINK-31153,502.4940075924709
2024-07-17 19:25:29+00:00,33,55,76.2861103245207,221.19479997659167,STARLINK-31153,502.0999638416877
2024-07-17 19:25:30+00:00,34,55,77.2287389322281,225.01023321645005,STARLINK-31153,501.80307046443835
2024-07-17 19:25:31+00:00,34,55,77.2287389322281,225.01023321645005,STARLINK-31153,501.6034997165666
2024-07-17 19:25:32+00:00,35,54,77.09870941931612,233.141563229037,STARLINK-31153,501.5013674253533
2024-07-17 19:25:33+00:00,36,53,76.716882237901,240.9575591750795,STARLINK-31153,501.4967326524258
2024-07-17 19:25:34+00:00,36,53,76.716882237901,240.9575591750795,STARLINK-31153,501.58959752136866
2024-07-17 19:25:35+00:00,37,53,77.29310616694642,246.0508026535888,STARLINK-31153,501.7799072107103
2024-07-17 19:25:36+00:00,37,52,76.1039982093831,248.2109398063945,STARLINK-31153,502.0675501132297
2024-07-17 19:25:37+00:00,38,52,76.52956333700428,253.3138979038847,STARLINK-31153,502.452358159576
2024-07-17 19:25:38+00:00,39,52,76.84187221740964,258.7038412118323,STARLINK-31153,502.93410730480025
2024-07-17 19:25:39+00:00,39,51,75.57433168454388,259.7077591067465,STARLINK-31153,503.512518173882
2024-07-17 19:25:40+00:00,40,51,75.74821295686057,264.81848638897145,STARLINK-31153,504.18725686226816
2024-07-17 19:25:42+00:00,40,51,75.74821295686057,264.81848638897145,STARLINK-31153,505.82411527621974
2024-07-17 19:25:43+00:00,41,51,75.80645124633432,270.0130217678469,STARLINK-31153,506.78530380701494
2024-07-17 19:25:44+00:00,42,50,74.46219038681957,274.7754957853857,STARLINK-31153,507.8409603557511
2024-07-17 19:25:45+00:00,42,50,74.46219038681957,274.7754957853857,STARLINK-31153,508.9904953799731
2024-07-17 19:25:46+00:00,43,50,74.30201766711335,279.4739358248754,STARLINK-31153,510.2332725067578
2024-07-17 19:25:47+00:00,43,49,73.02796540256028,278.7569256093502,STARLINK-31153,511.56861022180897
2024-07-17 19:25:48+00:00,44,49,72.78422395449118,283.00507765909055,STARLINK-31153,512.995783650508
2024-07-17 19:25:49+00:00,45,49,72.44876653776763,287.11279389967785,STARLINK-31153,514.5140264195246
2024-07-17 19:25:50+00:00,45,48,71.21173318735597,285.95485466355075,STARLINK-31153,516.1225325876693
2024-07-17 19:25:51+00:00,46,48,70.81689061324998,289.6628975370022,STARLINK-31153,517.8204586369493
2024-07-17 19:25:52+00:00,46,48,70.81689061324998,289.6628975370022,STARLINK-31153,519.6069255126112
2024-07-17 19:25:53+00:00,47,48,70.34512105381522,293.2072337145953,STARLINK-31153,521.4810207009684
2024-07-17 19:25:54+00:00,48,47,68.63999648267479,295.0247345529158,STARLINK-31153,523.4418003360076
2024-07-17 19:25:55+00:00,48,47,68.63999648267479,295.0247345529158,STARLINK-31153,525.4882913233287
2024-07-17 19:25:57+00:00,49,47,68.0629979178148,298.0799209948097,STARLINK-31153,529.834381630648
2024-07-17 19:25:58+00:00,50,46,66.31124447343207,299.3645537747335,STARLINK-31153,532.1319078004481
2024-07-17 19:25:59+00:00,50,46,66.31124447343207,299.3645537747335,STARLINK-31153,534.5110032470701
2024-07-17 19:26:00+00:00,51,46,65.65253241218615,302.0118204840357,STARLINK-31153,536.970580574547
2024-07-17 19:26:01+00:00,51,46,65.65253241218615,302.0118204840357,STARLINK-31153,539.5095357698679
2024-07-17 19:26:02+00:00,52,45,63.87120649252845,302.91118172128944,STARLINK-31153,542.1267502080007
2024-07-17 19:26:03+00:00,52,45,63.87120649252845,302.91118172128944,STARLINK-31153,544.8210926102316
2024-07-17 19:26:04+00:00,53,45,63.14826599366957,305.22321629826564,STARLINK-31153,547.5914209513427
2024-07-17 19:26:05+00:00,53,45,63.14826599366957,305.22321629826564,STARLINK-31153,550.4365843118443
2024-07-17 19:26:06+00:00,54,44,61.34830047735562,305.8428824474069,STARLINK-31153,553.3554246675582
2024-07-17 19:26:07+00:00,54,44,61.34830047735562,305.8428824474069,STARLINK-31153,556.3467786175892
2024-07-17 19:26:08+00:00,55,44,60.57413749819683,307.879941605989,STARLINK-31153,559.4094790455815
2024-07-17 19:26:09+00:00,55,44,60.57413749819683,307.879941605989,STARLINK-31153,562.5423567088606
2024-07-17 19:26:10+00:00,56,44,59.76471023558072,309.81026714685584,STARLINK-31153,565.7442417601477
2024-07-17 19:26:12+00:00,41,81,65.48387075551783,89.99246108168654,STARLINK-31524,501.9531762973427
2024-07-17 19:26:13+00:00,41,80,66.77419332437276,89.99204225289657,STARLINK-31524,500.10217872755584
2024-07-17 19:26:14+00:00,42,80,66.7381997094476,86.81223667943237,STARLINK-31524,498.3434947208671
2024-07-17 19:26:15+00:00,42,80,66.7381997094476,86.81223667943237,STARLINK-31524,496.67810602846873
2024-07-17 19:26:16+00:00,43,79,67.9128579976624,83.2818525128614,STARLINK-31524,495.1069551244238
2024-07-17 19:26:17+00:00,43,79,67.9128579976624,83.2818525128614,STARLINK-31524,493.63094275370224
2024-07-17 19:26:18+00:00,44,79,67.72501788319798,79.98384902631369,STARLINK-31524,492.2509255336156
2024-07-17 19:26:19+00:00,44,79,67.72501788319798,79.98384902631369,STARLINK-31524,490.96771362363603
2024-07-17 19:26:20+00:00,45,78,68.71867223243652,75.95533099196837,STARLINK-31524,489.782068476688
2024-07-17 19:26:21+00:00,45,77,69.96797543120861,75.05966787346028,STARLINK-31524,488.6947006858458
2024-07-17 19:26:22+00:00,46,77,69.5971883249985,71.55645723991233,STARLINK-31524,487.7062679396152
2024-07-17 19:26:23+00:00,47,76,70.34512105381522,66.7927662854047,STARLINK-31524,486.81737309951967
2024-07-17 19:26:24+00:00,47,76,70.34512105381522,66.7927662854047,STARLINK-31524,486.0285624114895
2024-07-17 19:26:25+00:00,48,76,69.80181414684515,63.4267642962277,STARLINK-31524,485.3403238650488
2024-07-17 19:26:27+00:00,58,96,40.94932423580653,63.43157858207928,STARLINK-1653,830.0450575804037
2024-07-17 19:26:28+00:00,58,96,40.94932423580653,63.43157858207928,STARLINK-1653,830.0461451312273
2024-07-17 19:26:29+00:00,59,96,40.35878979859429,62.09943843312056,STARLINK-1653,830.1053799823671
2024-07-17 19:26:30+00:00,59,95,41.49536844797274,61.386195145591046,STARLINK-1653,830.2227485366583
2024-07-17 19:26:31+00:00,59,95,41.49536844797274,61.386195145591046,STARLINK-1653,830.3982249294468
2024-07-17 19:26:32+00:00,60,95,40.86437031991681,60.065228334000494,STARLINK-1653,830.6317710549044
2024-07-17 19:26:33+00:00,60,95,40.86437031991681,60.065228334000494,STARLINK-1653,830.9233366058338
2024-07-17 19:26:34+00:00,61,94,41.30677472887126,57.991398040920274,STARLINK-1653,831.2728591261013
2024-07-17 19:26:35+00:00,61,94,41.30677472887126,57.991398040920274,STARLINK-1653,831.6802640750604
2024-07-17 19:26:36+00:00,61,94,41.30677472887126,57.991398040920274,STARLINK-1653,832.1454649052911
2024-07-17 19:26:37+00:00,62,94,40.61072243073669,56.72198334751903,STARLINK-1653,832.6683631517366
