Timestamp,Y,X,Elevation,Azimuth
2024-08-11 19:39:57+00:00,31,31,42.07338943759949,62.575188817396224
2024-08-11 19:39:58+00:00,31,30,40.99131976053899,63.40616841039082
2024-08-11 19:39:59+00:00,32,30,41.674161787737255,64.69516995596729
2024-08-11 19:40:00+00:00,32,30,41.674161787737255,64.69516995596729
2024-08-11 19:40:01+00:00,32,29,40.56714409974095,65.47227599007351
2024-08-11 19:40:02+00:00,33,29,41.209908718223545,66.77761526402412
2024-08-11 19:40:03+00:00,33,29,41.209908718223545,66.77761526402412
2024-08-11 19:40:04+00:00,33,28,40.07982897118334,67.50064266351364
2024-08-11 19:40:05+00:00,34,28,40.682466554998356,68.8181680950239
2024-08-11 19:40:06+00:00,34,28,40.682466554998356,68.8181680950239
2024-08-11 19:40:07+00:00,35,28,41.258389446227255,70.16755679783387
2024-08-11 19:40:08+00:00,35,27,40.093838733457744,70.81306862636592
2024-08-11 19:40:09+00:00,35,27,40.093838733457744,70.81306862636592
2024-08-11 19:40:10+00:00,36,27,40.62915545219868,72.16826753969542
2024-08-11 19:40:12+00:00,89,59,41.406862763632724,181.43093174417547
2024-08-11 19:40:13+00:00,90,59,40.120534880747506,181.54900296757452
2024-08-11 19:40:14+00:00,90,59,40.120534880747506,181.54900296757452
2024-08-11 19:40:15+00:00,90,59,40.120534880747506,181.54900296757452
2024-08-11 19:40:16+00:00,90,59,40.120534880747506,181.54900296757452
2024-08-11 19:40:17+00:00,90,57,39.854212954858404,178.6080002710413
2024-08-11 19:40:18+00:00,90,57,39.854212954858404,178.6080002710413
2024-08-11 19:40:19+00:00,90,57,39.854212954858404,178.6080002710413
2024-08-11 19:40:20+00:00,91,57,38.57434611780577,178.79295937445565
2024-08-11 19:40:21+00:00,91,57,38.57434611780577,178.79295937445565
2024-08-11 19:40:22+00:00,91,57,38.57434611780577,178.79295937445565
2024-08-11 19:40:23+00:00,91,55,38.187296404239,175.96061076084558
2024-08-11 19:40:24+00:00,91,55,38.187296404239,175.96061076084558
2024-08-11 19:40:25+00:00,91,55,38.187296404239,175.96061076084558
2024-08-11 19:40:27+00:00,92,54,36.68154144301601,174.8369097338394
2024-08-11 19:40:28+00:00,92,54,36.68154144301601,174.8369097338394
2024-08-11 19:40:29+00:00,92,54,36.68154144301601,174.8369097338394
2024-08-11 19:40:30+00:00,92,54,36.68154144301601,174.8369097338394
2024-08-11 19:40:31+00:00,92,53,36.41677619768566,173.4831644537653
2024-08-11 19:40:32+00:00,92,53,36.41677619768566,173.4831644537653
2024-08-11 19:40:33+00:00,92,53,36.41677619768566,173.4831644537653
2024-08-11 19:40:34+00:00,92,52,36.122401798806585,172.14347086450977
2024-08-11 19:40:35+00:00,93,52,34.86876351638503,172.4646264957338
2024-08-11 19:40:36+00:00,93,52,34.86876351638503,172.4646264957338
2024-08-11 19:40:37+00:00,93,52,34.86876351638503,172.4646264957338
2024-08-11 19:40:38+00:00,93,51,34.55257611198824,171.16821261836648
2024-08-11 19:40:39+00:00,93,51,34.55257611198824,171.16821261836648
2024-08-11 19:40:40+00:00,93,51,34.55257611198824,171.16821261836648
2024-08-11 19:40:42+00:00,93,51,34.55257611198824,171.16821261836648
2024-08-11 19:40:43+00:00,93,50,34.208331624285684,169.88714756733052
2024-08-11 19:40:44+00:00,93,50,34.208331624285684,169.88714756733052
2024-08-11 19:40:45+00:00,93,50,34.208331624285684,169.88714756733052
2024-08-11 19:40:46+00:00,94,50,32.967572617387525,170.24690694424885
2024-08-11 19:40:47+00:00,94,49,32.603823453072806,169.00712363548254
2024-08-11 19:40:48+00:00,94,49,32.603823453072806,169.00712363548254
2024-08-11 19:40:49+00:00,94,49,32.603823453072806,169.00712363548254
2024-08-11 19:40:50+00:00,94,49,32.603823453072806,169.00712363548254
2024-08-11 19:40:51+00:00,94,48,32.213546085753364,167.78352011503068
2024-08-11 19:40:52+00:00,94,48,32.213546085753364,167.78352011503068
2024-08-11 19:40:53+00:00,94,48,32.213546085753364,167.78352011503068
2024-08-11 19:40:54+00:00,94,48,32.213546085753364,167.78352011503068
2024-08-11 19:40:55+00:00,95,47,30.578836495601657,166.99061747778018
2024-08-11 19:40:57+00:00,93,56,35.84376707121866,177.78109099623805
2024-08-11 19:40:58+00:00,93,56,35.84376707121866,177.78109099623805
2024-08-11 19:40:59+00:00,92,56,37.1205151618004,177.5812264805483
2024-08-11 19:41:00+00:00,92,56,37.1205151618004,177.5812264805483
2024-08-11 19:41:01+00:00,92,55,36.91625448914726,176.20339514758072
2024-08-11 19:41:02+00:00,92,55,36.91625448914726,176.20339514758072
2024-08-11 19:41:03+00:00,91,55,38.187296404239,175.96061076084558
2024-08-11 19:41:04+00:00,91,55,38.187296404239,175.96061076084558
2024-08-11 19:41:05+00:00,91,55,38.187296404239,175.96061076084558
2024-08-11 19:41:06+00:00,91,54,37.94685178268247,174.56193911255446
2024-08-11 19:41:07+00:00,91,54,37.94685178268247,174.56193911255446
2024-08-11 19:41:08+00:00,90,54,39.21090352743534,174.27327448887135
2024-08-11 19:41:09+00:00,90,54,39.21090352743534,174.27327448887135
2024-08-11 19:41:10+00:00,90,53,38.93302269905172,172.85563888835756
2024-08-11 19:41:12+00:00,89,53,40.18867481641083,172.51812161775845
2024-08-11 19:41:13+00:00,89,53,40.18867481641083,172.51812161775845
2024-08-11 19:41:14+00:00,89,53,40.18867481641083,172.51812161775845
2024-08-11 19:41:15+00:00,89,52,39.87214515435956,171.0837831609555
2024-08-11 19:41:16+00:00,88,52,41.11785968229765,170.6944752437914
